epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.37,1.42436,2.69384,1.33967,0.53337,0.57189,0.50338,0.33747,1.38169,2.13001,1.37656,0.000473865,0.000473865,0.000473865
2,151.042,1.27368,1.47081,1.2045,0.55257,0.58258,0.56003,0.38311,1.33156,1.31945,1.41052,0.000940792,0.000940792,0.000940792
3,220.859,1.28813,1.14303,1.22957,0.72834,0.52873,0.59823,0.3859,1.41093,1.42997,1.44925,0.00139829,0.00139829,0.00139829
4,291.695,1.24598,0.97891,1.19291,0.77687,0.64048,0.70311,0.44108,1.33202,1.16676,1.36177,0.00138656,0.00138656,0.00138656
5,362.262,1.2046,0.92656,1.17654,0.91153,0.65696,0.74391,0.46886,1.2703,1.02343,1.34296,0.00137241,0.00137241,0.00137241
6,432.149,1.18385,0.82653,1.15776,0.65568,0.63638,0.68345,0.44302,1.2915,1.11889,1.37093,0.00135826,0.00135826,0.00135826
7,502.69,1.17857,0.8392,1.15327,0.77033,0.72983,0.78372,0.48422,1.25249,0.99092,1.35804,0.00134412,0.00134412,0.00134412
8,572.373,1.14908,0.78051,1.14314,0.86844,0.68354,0.78448,0.48485,1.22478,0.93998,1.3164,0.00132997,0.00132997,0.00132997
9,642.376,1.12617,0.73642,1.12255,0.81567,0.72952,0.78858,0.49375,1.23431,0.93632,1.29009,0.00131582,0.00131582,0.00131582
10,716.639,1.12946,0.74393,1.1288,0.75797,0.78056,0.77821,0.50117,1.18129,0.85433,1.28293,0.00130168,0.00130168,0.00130168
11,791.26,1.10991,0.7292,1.12012,0.84208,0.78283,0.84342,0.51705,1.27083,0.79757,1.35205,0.00128753,0.00128753,0.00128753
12,863.833,1.08427,0.72484,1.09517,0.81075,0.74613,0.80146,0.5312,1.19371,0.82822,1.26053,0.00127338,0.00127338,0.00127338
13,933.682,1.0973,0.69503,1.11051,0.79539,0.76736,0.81003,0.5237,1.16361,0.85689,1.2431,0.00125923,0.00125923,0.00125923
14,1005.87,1.07252,0.67176,1.09802,0.85503,0.81279,0.87098,0.57237,1.16094,0.76365,1.25694,0.00124509,0.00124509,0.00124509
15,1081.42,1.06482,0.6649,1.09071,0.78243,0.81275,0.8036,0.52108,1.17391,0.78926,1.27703,0.00123094,0.00123094,0.00123094
16,1154.19,1.07788,0.66144,1.09477,0.76211,0.70505,0.73963,0.50627,1.16357,0.87909,1.2544,0.00121679,0.00121679,0.00121679
17,1227.28,1.05683,0.64663,1.07993,0.75558,0.79089,0.8145,0.54989,1.13686,0.78995,1.24885,0.00120265,0.00120265,0.00120265
18,1299.11,1.05586,0.64797,1.08608,0.9736,0.78226,0.88947,0.58166,1.14179,0.70061,1.23056,0.0011885,0.0011885,0.0011885
19,1369.65,1.04282,0.63953,1.08229,0.84958,0.84815,0.85439,0.56553,1.14558,0.72216,1.26571,0.00117435,0.00117435,0.00117435
