epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6861,2.78627,5.42198,2.53159,0.00068,0.22716,0.00671,0.00162,2.46178,10.3624,1.57041,8.335e-05,8.335e-05,8.335e-05
2,51.5799,2.15382,4.68699,1.88967,0.00166,0.43267,0.0184,0.00559,1.75623,8.87294,1.00655,0.000165216,0.000165216,0.000165216
3,73.634,1.68455,3.79883,1.43819,0.00165,0.4704,0.03791,0.00936,1.58722,8.3878,0.89799,0.000227279,0.000227279,0.000227279
4,94.1722,1.62029,3.10397,1.39532,0.00196,0.55679,0.05805,0.01342,1.62778,8.27852,0.91843,0.000269537,0.000269537,0.000269537
5,114.472,1.55755,2.83691,1.32924,0.00181,0.51868,0.0585,0.01743,1.61391,8.41745,0.95821,0.000291992,0.000291992,0.000291992
6,130.695,1.47204,2.54962,1.28321,0.00179,0.51794,0.10179,0.02056,1.67865,8.14711,0.9833,0.000294642,0.000294642,0.000294642
7,145.93,1.44793,2.32604,1.24535,0.00175,0.50777,0.11391,0.02975,1.52457,7.90588,0.86669,0.000277489,0.000277489,0.000277489
8,166.28,1.45794,2.21097,1.2395,0.04604,0.30559,0.16951,0.03887,1.48155,7.77964,0.8262,0.000240531,0.000240531,0.000240531
9,184.973,1.45585,2.1002,1.2124,0.73026,0.11223,0.15371,0.04545,1.50273,7.35592,0.80901,0.00018377,0.00018377,0.00018377
10,201.718,1.37577,1.98005,1.15777,0.74722,0.11014,0.13926,0.02512,1.48944,7.18571,0.79491,0.000107205,0.000107205,0.000107205
